name,category,county,city,state,description,who_it_helps,eligibility_summary,application_method,referral_required,phone,website,address,status,status_confidence,source_url,source_type,last_verified,notes,priority_score
Transition Projects - SSVF (Supportive Services for Veteran Families),veteran housing support,Multnomah,Portland,OR,Rapid rehousing and homelessness prevention for veterans and their families.,Veterans and their households.,Served in U.S. Military; experiencing or at risk of homelessness; low-income.,Call 855-425-5544 or complete online referral form.,No,855-425-5544,https://www.tprojects.org/veterans-services,"665 NW Hoyt St, Portland, OR 97209",Open,High,https://www.tprojects.org/veterans-services,Nonprofit,2026-05-06,CARF accredited program.,10
Janus Youth - Access Center,coordinated entry,Multnomah,Portland,OR,Single point-of-entry for youth seeking services through Portland’s Homeless Youth Continuum.,Youth ages 16 to 24.,Ages 16-24; experiencing homelessness in Multnomah County.,Call 503-432-3986 to schedule a screening.,No,503-432-3986,https://janusyouth.org/homeless-youth/,"1635 SW Alder Street, Portland, OR 97205",Open,High,https://janusyouth.org/homeless-youth/,Nonprofit,2026-05-06,Mobile program available 365 days a year.,10
Janus Youth - Porch Light Shelter,youth shelter,Multnomah,Portland,OR,"Emergency shelter for youth with meals, showers, and hygiene amenities.",Youth ages 16 to 24.,Ages 16-24; experiencing homelessness.,Self-refer at door between 9:00 pm and 5:00 am.,No,503-380-7200,https://janusyouth.org/homeless-youth/,"1635 SW Alder Street, Portland, OR 97205",Open,High,https://janusyouth.org/homeless-youth/,Nonprofit,2026-05-06,"Beds are first come, first served. LGBTQ affirmative.",9
Janus Youth - Yellow Brick Road,outreach teams,Multnomah,Portland,OR,Street outreach program engaging youth experiencing homelessness.,Youth experiencing homelessness on the streets.,Youth on the streets of Portland.,Direct street engagement.,No,503-432-3986,https://janusyouth.org/homeless-youth/,Varies,Open,High,https://janusyouth.org/homeless-youth/,Nonprofit,2026-05-06,Operates every night of the year.,8
YWCA Clark County - SafeChoice Domestic Violence Program,domestic violence shelter,Clark,Vancouver,WA,Emergency shelter and advocacy for survivors of domestic violence.,Survivors of domestic violence.,Fleeing domestic violence; prioritizes Clark County survivors.,Call 24-hour hotline: 360-695-0501 or 800-695-0167.,No,360-695-0501,https://www.ywcaclarkcounty.org/,"3609 Main St, Vancouver, WA 98663",Open,High,https://www.ywcaclarkcounty.org/,Nonprofit,2026-05-06,Includes safety planning and support groups.,10
Clark County Veterans Assistance Fund,veteran housing support,Clark,Vancouver,WA,"Emergency financial assistance for rent, utilities, and other needs.",Qualified veterans in Clark County.,Honorable/General discharge; Clark County resident for 12 months; income <200% poverty.,"Apply in person at 1305 Columbia St, Suite 100, Vancouver.",No,360-693-7030,https://clark.wa.gov/community-services/veterans-assistance-fund,"1305 Columbia St, Suite 100, Vancouver, WA 98660",Open,High,https://clark.wa.gov/community-services/veterans-assistance-fund,Government,2026-05-06,Applications accepted M-F 9am-4pm.,9
Bradley Angle - Emergency Shelter,domestic violence shelter,Multnomah,Portland,OR,Confidential emergency shelter for survivors of domestic violence.,Survivors of domestic violence and their children.,Fleeing domestic violence.,Call 24-hour crisis line: 503-235-5333.,No,503-235-5333,https://bradleyangle.org/,Confidential,Open,High,https://bradleyangle.org/,Nonprofit,2026-05-06,First DV shelter on the West Coast.,10
Raphael House of Portland - Emergency Shelter,domestic violence shelter,Multnomah,Portland,OR,Confidential emergency shelter for survivors of domestic violence.,Survivors of domestic violence and their children.,Fleeing domestic violence.,Call 24-hour hotline: 503-222-6222.,No,503-222-6222,https://raphaelhouse.com/,Confidential,Open,High,https://raphaelhouse.com/,Nonprofit,2026-05-06,Provides housing advocacy and support services.,10
New Avenues for Youth - Drop-In Center,youth shelter,Multnomah,Portland,OR,Basic needs and connections to housing for youth.,Youth ages 14 to 24.,Ages 14-24; experiencing or at risk of homelessness.,Walk-in at 1635 SW Alder St.,No,503-224-4339,https://newavenues.org/,"1635 SW Alder St, Portland, OR 97205",Open,High,https://newavenues.org/,Nonprofit,2026-05-06,"Provides meals, showers, and laundry.",9
Outside In - Youth Housing,youth shelter,Multnomah,Portland,OR,Transitional and permanent housing for youth.,Youth ages 16 to 24.,Ages 16-24; experiencing homelessness.,Call 503-535-3800 or visit drop-in center.,No,503-535-3800,https://outsidein.org/,"1132 SW 13th Ave, Portland, OR 97205",Open,High,https://outsidein.org/,Nonprofit,2026-05-06,Focus on LGBTQ+ and marginalized youth.,9
